ID,Prob1
0, 0.49
1, 0.50
2, 0.50
3, 0.49
4, 0.49
5, 0.50
6, 0.50
7, 0.50
8, 0.50
9, 0.49
10, 0.49
11, 0.50
12, 0.50
13, 0.50
14, 0.50
15, 0.49
16, 0.49
17, 0.49
18, 0.49
19, 0.50
20, 0.50
21, 0.49
22, 0.50
23, 0.49
24, 0.49
25, 0.50
26, 0.50
27, 0.49
28, 0.50
29, 0.51
30, 0.49
31, 0.50
32, 0.49
33, 0.50
34, 0.50
35, 0.50
36, 0.50
37, 0.50
38, 0.50
39, 0.50
40, 0.50
41, 0.49
42, 0.50
43, 0.50
44, 0.50
45, 0.50
46, 0.49
47, 0.50
48, 0.50
49, 0.50
50, 0.50
51, 0.49
52, 0.50
53, 0.49
54, 0.50
55, 0.49
56, 0.50
57, 0.49
58, 0.50
59, 0.49
60, 0.50
61, 0.50
62, 0.49
63, 0.49
64, 0.49
65, 0.49
66, 0.50
67, 0.49
68, 0.49
69, 0.49
70, 0.50
71, 0.50
72, 0.50
73, 0.49
74, 0.49
75, 0.50
76, 0.49
77, 0.49
78, 0.49
79, 0.50
80, 0.50
81, 0.49
82, 0.50
83, 0.50
84, 0.50
85, 0.50
86, 0.50
87, 0.50
88, 0.49
89, 0.50
90, 0.49
91, 0.50
92, 0.49
93, 0.50
94, 0.49
95, 0.49
96, 0.50
97, 0.49
98, 0.49
99, 0.50
100, 0.50
101, 0.50
102, 0.50
103, 0.49
104, 0.50
105, 0.49
106, 0.49
107, 0.50
108, 0.49
109, 0.50
110, 0.50
111, 0.49
112, 0.49
113, 0.50
114, 0.50
115, 0.49
116, 0.49
117, 0.50
118, 0.50
119, 0.49
120, 0.49
121, 0.50
122, 0.50
123, 0.50
124, 0.49
125, 0.50
126, 0.49
127, 0.50
128, 0.50
129, 0.49
130, 0.50
131, 0.50
132, 0.49
133, 0.49
134, 0.49
135, 0.50
136, 0.49
137, 0.49
138, 0.50
139, 0.49
140, 0.49
141, 0.50
142, 0.50
143, 0.49
144, 0.49
145, 0.50
146, 0.50
147, 0.49
148, 0.50
149, 0.49
150, 0.50
151, 0.49
152, 0.50
153, 0.49
154, 0.50
155, 0.50
156, 0.50
157, 0.50
158, 0.49
159, 0.50
160, 0.50
161, 0.50
162, 0.50
163, 0.50
164, 0.50
165, 0.50
166, 0.49
167, 0.50
168, 0.50
169, 0.49
170, 0.49
171, 0.50
172, 0.49
173, 0.50
174, 0.50
175, 0.50
176, 0.49
177, 0.49
178, 0.50
179, 0.49
180, 0.50
181, 0.50
182, 0.50
183, 0.49
184, 0.50
185, 0.50
186, 0.50
187, 0.51
188, 0.50
189, 0.49
190, 0.50
191, 0.50
192, 0.51
193, 0.50
194, 0.50
195, 0.50
196, 0.50
197, 0.50
198, 0.50
199, 0.49
200, 0.49
201, 0.49
202, 0.50
203, 0.49
204, 0.50
205, 0.49
206, 0.50
207, 0.50
208, 0.49
209, 0.50
210, 0.50
211, 0.50
212, 0.49
213, 0.50
214, 0.50
215, 0.49
216, 0.50
217, 0.49
218, 0.49
219, 0.50
220, 0.49
221, 0.50
222, 0.50
223, 0.50
224, 0.50
225, 0.49
226, 0.50
227, 0.50
228, 0.50
229, 0.50
230, 0.50
231, 0.50
232, 0.49
233, 0.49
234, 0.49
235, 0.50
236, 0.50
237, 0.50
238, 0.50
239, 0.50
240, 0.50
241, 0.49
242, 0.50
243, 0.49
244, 0.50
245, 0.50
246, 0.49
247, 0.50
248, 0.50
249, 0.49
250, 0.50
251, 0.49
252, 0.49
253, 0.49
254, 0.49
255, 0.49
256, 0.50
257, 0.49
258, 0.50
259, 0.49
260, 0.50
261, 0.50
262, 0.50
263, 0.49
264, 0.50
265, 0.50
266, 0.49
267, 0.49
268, 0.49
269, 0.50
270, 0.49
271, 0.49
272, 0.49
273, 0.50
274, 0.50
275, 0.50
276, 0.50
277, 0.50
278, 0.50
279, 0.49
280, 0.50
281, 0.49
282, 0.49
283, 0.49
284, 0.50
285, 0.50
286, 0.50
287, 0.50
288, 0.50
289, 0.49
290, 0.49
291, 0.50
292, 0.49
293, 0.50
294, 0.50
295, 0.49
296, 0.50
297, 0.49
298, 0.49
299, 0.50
300, 0.50
301, 0.50
302, 0.50
303, 0.50
304, 0.49
305, 0.50
306, 0.50
307, 0.49
308, 0.50
309, 0.50
310, 0.50
311, 0.50
312, 0.50
313, 0.49
314, 0.50
315, 0.50
316, 0.49
317, 0.50
318, 0.49
319, 0.50
320, 0.50
321, 0.50
322, 0.50
323, 0.49
324, 0.49
325, 0.50
326, 0.50
327, 0.50
328, 0.49
329, 0.49
330, 0.49
331, 0.50
332, 0.50
333, 0.49
334, 0.50
335, 0.49
336, 0.50
337, 0.50
338, 0.50
339, 0.50
340, 0.50
341, 0.49
342, 0.50
343, 0.49
344, 0.50
345, 0.50
346, 0.50
347, 0.49
348, 0.50
349, 0.50
350, 0.49
351, 0.50
352, 0.49
353, 0.50
354, 0.50
355, 0.50
356, 0.49
357, 0.50
358, 0.49
359, 0.49
360, 0.49
361, 0.49
362, 0.49
363, 0.50
364, 0.49
365, 0.50
366, 0.50
367, 0.50
368, 0.49
369, 0.50
370, 0.49
371, 0.49
372, 0.49
373, 0.49
374, 0.50
375, 0.50
376, 0.50
377, 0.50
378, 0.50
379, 0.49
380, 0.50
381, 0.50
382, 0.50
383, 0.50
384, 0.50
385, 0.50
386, 0.50
387, 0.50
388, 0.49
389, 0.50
390, 0.49
391, 0.49
392, 0.50
393, 0.49
394, 0.50
395, 0.49
396, 0.49
397, 0.50
398, 0.49
399, 0.51
400, 0.50
401, 0.49
402, 0.49
403, 0.49
404, 0.50
405, 0.49
406, 0.50
407, 0.50
408, 0.50
409, 0.49
410, 0.49
411, 0.49
412, 0.50
413, 0.50
414, 0.50
415, 0.49
416, 0.49
417, 0.49
418, 0.50
419, 0.50
420, 0.50
421, 0.49
422, 0.49
423, 0.49
424, 0.50
425, 0.50
426, 0.49
427, 0.50
428, 0.49
429, 0.49
430, 0.50
431, 0.50
432, 0.49
433, 0.49
434, 0.50
435, 0.50
436, 0.50
437, 0.50
438, 0.50
439, 0.49
440, 0.50
441, 0.49
442, 0.51
443, 0.49
444, 0.50
445, 0.49
446, 0.50
447, 0.50
448, 0.51
449, 0.50
450, 0.49
451, 0.50
452, 0.50
453, 0.50
454, 0.50
455, 0.49
456, 0.50
457, 0.50
458, 0.50
459, 0.49
460, 0.50
461, 0.49
462, 0.50
463, 0.49
464, 0.50
465, 0.49
466, 0.50
467, 0.50
468, 0.49
469, 0.50
470, 0.49
471, 0.50
472, 0.49
473, 0.50
474, 0.50
475, 0.49
476, 0.49
477, 0.50
478, 0.49
479, 0.50
480, 0.49
481, 0.50
482, 0.50
483, 0.50
484, 0.49
485, 0.50
486, 0.50
487, 0.50
488, 0.50
489, 0.50
490, 0.50
491, 0.50
492, 0.49
493, 0.49
494, 0.50
495, 0.51
496, 0.50
497, 0.50
498, 0.50
499, 0.50
500, 0.50
501, 0.50
502, 0.49
503, 0.49
504, 0.50
505, 0.49
506, 0.50
507, 0.49
508, 0.49
509, 0.50
510, 0.50
511, 0.49
512, 0.50
513, 0.49
514, 0.50
515, 0.50
516, 0.50
517, 0.50
518, 0.50
519, 0.50
520, 0.50
521, 0.50
522, 0.50
523, 0.50
524, 0.50
525, 0.50
526, 0.50
527, 0.50
528, 0.50
529, 0.49
530, 0.49
531, 0.49
532, 0.50
533, 0.49
534, 0.51
535, 0.50
536, 0.49
537, 0.50
538, 0.49
539, 0.50
540, 0.49
541, 0.50
542, 0.50
543, 0.50
544, 0.49
545, 0.50
546, 0.50
547, 0.49
548, 0.50
549, 0.50
550, 0.50
551, 0.50
552, 0.50
553, 0.49
554, 0.50
555, 0.49
556, 0.49
557, 0.49
558, 0.49
559, 0.50
560, 0.50
561, 0.49
562, 0.49
563, 0.49
564, 0.50
565, 0.49
566, 0.50
567, 0.49
568, 0.49
569, 0.49
570, 0.50
571, 0.50
572, 0.49
573, 0.49
574, 0.50
575, 0.50
576, 0.49
577, 0.50
578, 0.50
579, 0.50
580, 0.50
581, 0.49
582, 0.50
583, 0.50
584, 0.49
585, 0.49
586, 0.50
587, 0.50
588, 0.49
589, 0.50
590, 0.49
591, 0.49
592, 0.50
593, 0.49
594, 0.49
595, 0.50
596, 0.49
597, 0.50
598, 0.49
599, 0.50
600, 0.50
601, 0.50
602, 0.49
603, 0.50
604, 0.49
605, 0.49
606, 0.50
607, 0.49
608, 0.50
609, 0.50
610, 0.50
611, 0.50
612, 0.50
613, 0.50
614, 0.50
615, 0.50
616, 0.50
617, 0.49
618, 0.49
619, 0.50
620, 0.50
621, 0.50
622, 0.49
623, 0.49
624, 0.50
625, 0.50
626, 0.49
627, 0.50
628, 0.50
629, 0.50
630, 0.50
631, 0.50
632, 0.50
633, 0.49
634, 0.50
635, 0.50
636, 0.50
637, 0.50
638, 0.49
639, 0.50
640, 0.49
641, 0.50
642, 0.50
643, 0.50
644, 0.49
645, 0.49
646, 0.49
647, 0.49
648, 0.49
649, 0.50
650, 0.49
651, 0.49
652, 0.50
653, 0.49
654, 0.49
655, 0.50
656, 0.50
657, 0.50
658, 0.50
659, 0.50
660, 0.51
661, 0.50
662, 0.49
663, 0.49
664, 0.50
665, 0.49
666, 0.49
667, 0.50
668, 0.50
669, 0.50
670, 0.49
671, 0.50
672, 0.49
673, 0.49
674, 0.49
675, 0.49
676, 0.50
677, 0.50
678, 0.49
679, 0.49
680, 0.50
681, 0.50
682, 0.49
683, 0.50
684, 0.49
685, 0.49
686, 0.50
687, 0.49
688, 0.49
689, 0.49
690, 0.50
691, 0.50
692, 0.50
693, 0.50
694, 0.49
695, 0.50
696, 0.50
697, 0.49
698, 0.49
699, 0.49
700, 0.50
701, 0.49
702, 0.50
703, 0.50
704, 0.50
705, 0.50
706, 0.49
707, 0.49
708, 0.49
709, 0.49
710, 0.50
711, 0.50
712, 0.50
713, 0.50
714, 0.50
715, 0.49
716, 0.50
717, 0.50
718, 0.50
719, 0.49
720, 0.49
721, 0.50
722, 0.50
723, 0.50
724, 0.50
725, 0.49
726, 0.50
727, 0.50
728, 0.50
729, 0.50
730, 0.49
731, 0.50
732, 0.49
733, 0.50
734, 0.49
735, 0.50
736, 0.50
737, 0.49
738, 0.50
739, 0.50
740, 0.50
741, 0.50
742, 0.49
743, 0.50
744, 0.50
745, 0.50
746, 0.50
747, 0.50
748, 0.50
749, 0.50
750, 0.49
751, 0.50
752, 0.49
753, 0.49
754, 0.50
755, 0.50
756, 0.49
757, 0.50
758, 0.49
759, 0.50
760, 0.49
761, 0.49
762, 0.50
763, 0.49
764, 0.49
765, 0.49
766, 0.49
767, 0.50
768, 0.50
769, 0.50
770, 0.50
771, 0.49
772, 0.50
773, 0.49
774, 0.50
775, 0.49
776, 0.50
777, 0.49
778, 0.50
779, 0.49
780, 0.51
781, 0.49
782, 0.49
783, 0.50
784, 0.50
785, 0.50
786, 0.49
787, 0.49
788, 0.51
789, 0.49
790, 0.50
791, 0.50
792, 0.50
793, 0.50
794, 0.50
795, 0.50
796, 0.50
797, 0.50
798, 0.50
799, 0.50
800, 0.50
801, 0.49
802, 0.49
803, 0.50
804, 0.50
805, 0.51
806, 0.49
807, 0.50
808, 0.49
809, 0.50
810, 0.50
811, 0.50
812, 0.50
813, 0.50
814, 0.50
815, 0.49
816, 0.49
817, 0.50
818, 0.49
819, 0.50
820, 0.49
821, 0.50
822, 0.50
823, 0.49
824, 0.50
825, 0.49
826, 0.50
827, 0.49
828, 0.50
829, 0.50
830, 0.49
831, 0.50
832, 0.50
833, 0.50
834, 0.50
835, 0.50
836, 0.50
837, 0.50
838, 0.50
