ID,Prob1
0, 0.16
1, 0.08
2, 0.24
3, 0.04
4, 0.08
5, 0.00
6, 0.00
7, 0.68
8, 0.88
9, 0.00
10, 0.20
11, 0.08
12, 0.28
13, 0.60
14, 0.12
15, 0.20
16, 0.24
17, 0.04
18, 0.04
19, 0.52
20, 0.28
21, 0.00
22, 0.24
23, 0.28
24, 0.08
25, 0.40
26, 0.28
27, 0.16
28, 0.16
29, 0.76
30, 0.12
31, 0.08
32, 0.12
33, 0.12
34, 0.40
35, 0.56
36, 0.00
37, 0.56
38, 0.60
39, 0.28
40, 0.20
41, 0.04
42, 0.16
43, 0.24
44, 0.44
45, 0.08
46, 0.08
47, 0.56
48, 0.16
49, 0.32
50, 0.88
51, 0.04
52, 0.44
53, 0.04
54, 0.40
55, 0.04
56, 0.88
57, 0.00
58, 0.04
59, 0.00
60, 0.44
61, 0.40
62, 0.28
63, 0.16
64, 0.08
65, 0.16
66, 0.80
67, 0.00
68, 0.16
69, 0.12
70, 0.84
71, 1.00
72, 0.12
73, 0.00
74, 0.00
75, 0.72
76, 0.00
77, 0.52
78, 0.00
79, 0.24
80, 0.16
81, 0.16
82, 0.04
83, 0.12
84, 0.24
85, 0.08
86, 0.24
87, 0.12
88, 0.08
89, 0.64
90, 0.04
91, 0.20
92, 0.24
93, 0.76
94, 0.04
95, 0.12
96, 0.36
97, 0.04
98, 0.04
99, 0.56
100, 0.00
101, 0.64
102, 0.24
103, 0.08
104, 0.16
105, 0.08
106, 0.32
107, 0.16
108, 0.24
109, 0.24
110, 0.48
111, 0.00
112, 0.04
113, 0.28
114, 0.52
115, 0.04
116, 0.00
117, 0.28
118, 0.24
119, 0.20
120, 0.20
121, 0.40
122, 0.76
123, 0.40
124, 0.04
125, 0.32
126, 0.36
127, 0.12
128, 0.28
129, 0.04
130, 0.64
131, 0.40
132, 0.08
133, 0.28
134, 0.08
135, 0.24
136, 0.04
137, 0.00
138, 0.16
139, 0.08
140, 0.00
141, 0.28
142, 0.52
143, 0.00
144, 0.12
145, 0.08
146, 0.28
147, 0.16
148, 0.12
149, 0.52
150, 0.76
151, 0.04
152, 0.80
153, 0.04
154, 0.76
155, 0.04
156, 0.56
157, 0.04
158, 0.00
159, 0.08
160, 0.52
161, 0.12
162, 0.12
163, 0.04
164, 0.04
165, 0.36
166, 0.00
167, 0.20
168, 0.00
169, 0.12
170, 0.00
171, 0.12
172, 0.08
173, 0.44
174, 0.28
175, 0.20
176, 0.04
177, 0.04
178, 0.72
179, 0.00
180, 0.52
