ID,Prob1
0, 0.30
1, 0.35
2, 0.59
3, 0.54
4, 0.47
5, 0.37
6, 0.66
7, 0.44
8, 0.52
9, 0.18
10, 0.44
11, 0.41
12, 0.52
13, 0.23
14, 0.79
15, 0.18
16, 0.29
17, 0.34
18, 0.26
19, 0.58
20, 0.17
21, 0.54
22, 0.69
23, 0.43
24, 0.18
25, 0.38
26, 0.21
27, 0.42
28, 0.67
29, 0.27
30, 0.18
31, 0.30
32, 0.24
33, 0.72
34, 0.31
35, 0.48
36, 0.34
37, 0.57
38, 0.25
39, 0.56
40, 0.18
41, 0.18
42, 0.50
43, 0.37
44, 0.26
45, 0.75
46, 0.26
47, 0.61
48, 0.40
49, 0.24
50, 0.46
51, 0.20
52, 0.23
53, 0.20
54, 0.21
55, 0.24
56, 0.16
57, 0.55
58, 0.19
59, 0.29
60, 0.35
61, 0.47
62, 0.34
63, 0.23
64, 0.31
65, 0.52
66, 0.19
67, 0.17
68, 0.34
69, 0.19
70, 0.49
71, 0.54
72, 0.29
73, 0.32
74, 0.29
75, 0.39
76, 0.32
77, 0.44
78, 0.39
79, 0.46
80, 0.31
81, 0.17
82, 0.58
83, 0.19
84, 0.41
85, 0.41
86, 0.42
87, 0.52
88, 0.30
89, 0.53
90, 0.19
91, 0.44
92, 0.22
93, 0.43
94, 0.41
95, 0.25
96, 0.22
97, 0.27
98, 0.66
99, 0.16
100, 0.23
101, 0.51
102, 0.38
103, 0.18
104, 0.60
105, 0.20
106, 0.44
107, 0.22
108, 0.28
109, 0.20
110, 0.29
111, 0.51
112, 0.65
113, 0.44
114, 0.68
115, 0.44
116, 0.27
117, 0.63
118, 0.47
119, 0.37
120, 0.51
121, 0.21
122, 0.30
123, 0.19
124, 0.19
125, 0.74
126, 0.56
127, 0.44
128, 0.30
129, 0.25
130, 0.29
131, 0.52
132, 0.33
133, 0.37
134, 0.83
135, 0.61
136, 0.40
137, 0.26
138, 0.30
139, 0.30
140, 0.30
141, 0.20
142, 0.43
143, 0.27
144, 0.24
145, 0.47
146, 0.62
147, 0.59
148, 0.50
149, 0.52
150, 0.18
151, 0.65
152, 0.71
153, 0.16
154, 0.19
155, 0.20
156, 0.44
157, 0.44
158, 0.18
159, 0.21
160, 0.32
161, 0.55
162, 0.22
163, 0.25
164, 0.45
165, 0.48
166, 0.67
167, 0.27
168, 0.21
169, 0.19
170, 0.28
171, 0.31
172, 0.19
173, 0.58
174, 0.38
175, 0.56
176, 0.52
177, 0.20
178, 0.28
179, 0.28
180, 0.27
181, 0.47
182, 0.39
183, 0.33
184, 0.59
185, 0.23
186, 0.41
187, 0.48
188, 0.59
189, 0.52
190, 0.34
191, 0.43
192, 0.22
193, 0.28
194, 0.20
195, 0.55
196, 0.41
197, 0.30
198, 0.20
199, 0.43
200, 0.40
201, 0.48
202, 0.20
203, 0.32
204, 0.58
205, 0.55
206, 0.66
207, 0.26
208, 0.53
209, 0.70
210, 0.40
211, 0.46
212, 0.29
213, 0.51
214, 0.33
215, 0.24
216, 0.37
217, 0.32
218, 0.29
219, 0.39
220, 0.77
221, 0.24
222, 0.27
223, 0.21
224, 0.19
225, 0.17
226, 0.33
227, 0.39
228, 0.56
229, 0.26
230, 0.20
231, 0.33
232, 0.27
233, 0.33
234, 0.46
235, 0.22
236, 0.45
237, 0.44
238, 0.80
239, 0.61
240, 0.28
241, 0.28
242, 0.47
243, 0.28
244, 0.22
245, 0.45
246, 0.47
247, 0.59
248, 0.17
249, 0.30
250, 0.31
251, 0.47
252, 0.27
253, 0.57
254, 0.36
255, 0.46
256, 0.46
257, 0.39
258, 0.44
259, 0.57
260, 0.35
261, 0.24
262, 0.28
263, 0.22
264, 0.37
265, 0.37
266, 0.73
267, 0.20
268, 0.27
269, 0.28
270, 0.24
271, 0.17
272, 0.60
273, 0.41
274, 0.50
275, 0.44
276, 0.45
277, 0.20
278, 0.37
279, 0.34
280, 0.65
281, 0.26
282, 0.33
283, 0.35
284, 0.77
285, 0.19
286, 0.71
287, 0.41
288, 0.21
289, 0.35
290, 0.50
