ID,Prob1
0, 0.45
1, 0.29
2, 0.11
3, 0.20
4, 0.04
5, 0.01
6, 0.12
7, 0.62
8, 0.89
9, 0.27
10, 0.56
11, 0.29
12, 0.64
13, 0.41
14, 0.50
15, 0.53
16, 0.26
17, 0.00
18, 0.10
19, 0.50
20, 0.22
21, 0.07
22, 0.33
23, 0.49
24, 0.30
25, 0.49
26, 0.59
27, 0.04
28, 0.35
29, 0.41
30, 0.09
31, 0.35
32, 0.30
33, 0.32
34, 0.49
35, 0.72
36, 0.10
37, 0.35
38, 0.47
39, 0.26
40, 0.38
41, 0.02
42, 0.16
43, 0.41
44, 0.46
45, 0.29
46, 0.14
47, 0.42
48, 0.38
49, 0.69
50, 0.90
51, 0.02
52, 0.33
53, 0.07
54, 0.53
55, 0.10
56, 0.69
57, 0.22
58, 0.29
59, 0.19
60, 0.35
61, 0.28
62, 0.32
63, 0.28
64, 0.10
65, 0.46
66, 0.83
67, 0.22
68, 0.22
69, 0.19
70, 0.76
71, 0.87
72, 0.33
73, 0.40
74, 0.25
75, 0.84
76, 0.14
77, 0.53
78, 0.14
79, 0.33
80, 0.26
81, 0.08
82, 0.24
83, 0.15
84, 0.04
85, 0.24
86, 0.22
87, 0.30
88, 0.22
89, 0.41
90, 0.10
91, 0.36
92, 0.15
93, 0.66
94, 0.13
95, 0.23
96, 0.41
97, 0.03
98, 0.28
99, 0.59
100, 0.00
101, 0.53
102, 0.44
103, 0.21
104, 0.33
105, 0.19
106, 0.37
107, 0.18
108, 0.31
109, 0.49
110, 0.63
111, 0.23
112, 0.13
113, 0.28
114, 0.54
115, 0.09
116, 0.22
117, 0.03
118, 0.24
119, 0.33
120, 0.21
121, 0.45
122, 0.70
123, 0.44
124, 0.18
125, 0.62
126, 0.68
127, 0.29
128, 0.16
129, 0.09
130, 0.67
131, 0.37
132, 0.08
133, 0.48
134, 0.09
135, 0.43
136, 0.20
137, 0.09
138, 0.29
139, 0.10
140, 0.32
141, 0.33
142, 0.40
143, 0.18
144, 0.17
145, 0.00
146, 0.56
147, 0.27
148, 0.22
149, 0.56
150, 0.80
151, 0.19
152, 0.83
153, 0.17
154, 0.94
155, 0.19
156, 0.46
157, 0.05
158, 0.09
159, 0.23
160, 0.76
161, 0.03
162, 0.20
163, 0.13
164, 0.03
165, 0.39
166, 0.09
167, 0.26
168, 0.01
169, 0.15
170, 0.22
171, 0.30
172, 0.17
173, 0.40
174, 0.22
175, 0.04
176, 0.27
177, 0.18
178, 0.49
179, 0.05
180, 0.58
181, 0.98
182, 0.05
183, 0.14
184, 0.84
185, 0.12
186, 0.80
187, 0.65
188, 0.14
189, 0.28
190, 1.00
191, 0.08
192, 0.70
193, 0.13
194, 0.12
195, 0.64
196, 0.02
197, 0.30
198, 0.44
199, 0.22
200, 0.13
201, 0.27
202, 0.97
203, 0.03
204, 0.30
205, 0.14
206, 0.05
207, 0.34
208, 0.22
209, 0.60
210, 0.54
211, 0.32
212, 0.20
213, 0.50
214, 0.27
215, 0.00
216, 0.59
217, 0.18
218, 0.03
219, 0.51
220, 0.36
221, 0.20
222, 0.00
223, 0.56
224, 0.28
225, 0.23
226, 0.30
227, 0.63
228, 0.53
229, 0.02
230, 0.26
231, 0.68
232, 0.43
233, 0.40
234, 0.21
235, 0.14
236, 0.10
237, 0.27
238, 0.71
239, 0.50
240, 0.36
241, 0.17
242, 0.01
243, 0.00
244, 0.24
245, 0.00
246, 0.05
247, 0.78
248, 0.67
249, 0.14
250, 0.92
251, 0.31
252, 0.05
253, 0.10
254, 0.39
255, 0.20
256, 0.32
257, 0.17
258, 1.00
259, 0.35
260, 0.58
261, 0.41
262, 0.32
263, 0.07
264, 0.05
265, 0.01
266, 0.18
267, 0.36
268, 0.17
269, 0.70
270, 0.00
271, 0.07
272, 0.45
273, 0.20
274, 0.64
275, 0.15
276, 0.89
277, 0.94
278, 0.40
279, 0.22
280, 1.00
281, 0.16
282, 0.05
283, 0.20
284, 0.18
285, 0.45
286, 0.74
287, 0.26
288, 0.02
289, 0.37
290, 0.09
291, 0.21
292, 0.29
293, 0.32
294, 0.17
295, 0.10
296, 0.17
297, 0.18
298, 0.50
299, 0.79
300, 0.20
301, 0.05
302, 0.40
303, 0.60
304, 0.06
305, 0.47
306, 0.33
307, 0.17
308, 0.14
309, 0.80
310, 0.32
311, 0.40
312, 0.59
313, 0.11
314, 0.47
315, 0.42
316, 0.03
317, 0.63
318, 0.39
319, 0.31
320, 0.14
321, 0.22
322, 0.20
323, 0.49
324, 0.17
325, 0.25
326, 0.62
327, 0.66
328, 0.38
329, 0.22
330, 0.24
331, 0.79
332, 0.52
333, 0.25
334, 0.75
335, 0.08
336, 0.30
337, 0.87
338, 0.12
339, 0.28
340, 0.37
341, 0.23
342, 0.02
343, 0.00
344, 0.39
345, 0.40
346, 0.76
347, 0.00
348, 0.07
349, 0.50
350, 0.06
351, 0.45
352, 0.13
353, 0.49
354, 0.26
355, 0.14
356, 0.17
357, 0.50
358, 0.11
359, 0.18
360, 0.17
361, 0.05
362, 0.17
363, 0.42
364, 0.31
365, 0.73
366, 0.25
367, 0.43
368, 0.17
369, 0.57
370, 0.17
371, 0.08
372, 0.40
373, 0.35
374, 0.44
375, 0.16
376, 0.69
377, 0.13
378, 0.76
379, 0.06
380, 0.31
381, 0.17
382, 0.34
383, 0.86
384, 0.36
385, 0.50
386, 0.43
387, 0.21
388, 0.13
389, 0.15
390, 0.09
391, 0.10
392, 0.71
393, 0.24
394, 0.32
395, 0.27
396, 1.00
397, 0.04
398, 0.18
399, 0.96
400, 0.40
401, 0.41
402, 0.10
403, 0.23
404, 0.37
405, 0.60
406, 0.59
407, 0.24
408, 0.12
409, 0.43
410, 0.04
411, 0.39
412, 0.29
413, 0.22
414, 0.07
415, 0.38
416, 0.23
417, 0.22
418, 0.09
419, 0.37
420, 0.54
421, 0.14
422, 0.15
423, 0.08
424, 0.27
425, 0.25
426, 0.19
427, 0.36
428, 0.15
429, 0.10
430, 0.54
431, 0.79
432, 0.08
433, 0.07
434, 0.66
435, 0.16
436, 0.25
437, 0.61
438, 0.50
439, 0.17
440, 0.28
441, 0.17
442, 0.60
443, 0.63
444, 0.24
445, 0.10
446, 0.78
447, 0.15
448, 0.91
449, 0.03
450, 0.39
451, 0.91
452, 0.81
453, 0.60
454, 0.16
455, 0.37
456, 0.60
457, 0.20
458, 0.31
459, 0.27
460, 0.60
461, 0.02
462, 0.19
463, 0.10
464, 0.20
465, 0.09
466, 0.18
467, 0.31
468, 0.31
469, 0.23
470, 0.18
471, 0.52
472, 0.09
473, 0.20
474, 0.21
475, 0.48
476, 0.07
477, 0.31
478, 0.28
479, 0.20
480, 0.25
481, 0.19
482, 0.47
483, 0.47
484, 0.16
485, 0.84
486, 0.36
487, 0.51
488, 0.28
489, 0.54
490, 0.17
491, 0.16
492, 0.02
493, 0.28
494, 0.43
495, 0.21
496, 0.60
497, 0.58
498, 0.97
499, 0.50
500, 0.29
501, 0.14
502, 0.42
503, 0.14
504, 0.59
505, 0.08
506, 0.41
507, 0.04
508, 0.29
509, 0.54
510, 0.66
511, 0.27
512, 0.19
513, 0.01
514, 0.17
515, 0.70
516, 0.07
517, 0.57
518, 0.40
519, 0.93
520, 0.30
521, 0.27
522, 0.59
523, 0.57
524, 0.28
525, 0.77
526, 0.18
527, 0.43
528, 0.66
529, 0.18
530, 0.14
531, 0.65
532, 0.41
533, 0.28
534, 0.90
535, 0.30
536, 0.28
537, 0.17
538, 0.12
539, 0.40
540, 0.13
541, 0.00
542, 0.69
543, 0.10
544, 0.16
545, 0.35
546, 0.50
547, 0.15
548, 0.41
549, 0.01
550, 0.70
551, 0.17
552, 0.80
553, 0.16
554, 0.07
555, 0.10
556, 0.16
557, 0.37
558, 0.24
559, 0.21
560, 0.55
561, 0.24
562, 0.13
563, 0.29
564, 0.23
565, 0.18
566, 0.11
567, 0.50
568, 0.07
569, 0.36
570, 0.45
571, 0.08
572, 0.21
573, 0.47
574, 0.40
575, 0.15
576, 0.15
577, 0.53
578, 0.21
579, 0.21
580, 0.67
581, 0.22
582, 0.37
583, 0.57
584, 0.22
585, 0.12
586, 0.60
587, 0.60
588, 0.07
589, 0.99
590, 0.03
591, 0.14
592, 0.80
593, 0.33
594, 0.13
595, 0.49
596, 0.41
597, 0.08
598, 0.15
599, 0.07
600, 0.37
601, 0.19
602, 0.10
603, 0.50
604, 0.00
605, 0.12
606, 0.58
607, 0.01
608, 0.44
609, 0.28
610, 0.28
611, 0.15
612, 0.57
613, 0.36
614, 0.41
615, 0.17
616, 0.46
617, 0.31
618, 0.12
619, 0.20
620, 0.66
621, 0.46
622, 0.23
623, 0.14
624, 0.08
625, 0.49
626, 0.23
627, 0.13
628, 0.69
629, 0.84
630, 0.60
631, 0.38
632, 0.39
633, 0.02
634, 0.28
635, 0.37
636, 0.36
637, 0.17
638, 0.36
639, 0.24
640, 0.11
641, 0.50
642, 0.46
643, 0.47
644, 0.48
645, 0.33
646, 0.18
647, 0.21
648, 0.32
649, 0.22
650, 0.42
651, 0.31
652, 0.99
653, 0.17
654, 0.16
655, 0.12
656, 0.27
657, 0.91
658, 0.34
659, 0.10
660, 0.95
661, 0.29
662, 0.13
663, 0.09
664, 0.68
665, 0.10
666, 0.18
667, 0.29
668, 0.63
669, 0.16
670, 0.00
671, 0.33
672, 0.14
673, 0.12
674, 0.13
675, 0.65
676, 0.11
677, 0.51
678, 0.21
679, 0.15
680, 0.89
681, 0.16
682, 0.19
683, 1.00
684, 0.22
