ID,Prob1
0, 0.55
1, 0.30
2, 0.38
3, 0.29
4, 0.23
5, 0.17
6, 0.32
7, 0.62
8, 0.67
9, 0.33
10, 0.59
11, 0.26
12, 0.53
13, 0.70
14, 0.36
15, 0.27
16, 0.44
17, 0.33
18, 0.39
19, 0.32
20, 0.34
21, 0.28
22, 0.51
23, 0.58
24, 0.24
25, 0.46
26, 0.45
27, 0.36
28, 0.35
29, 0.53
30, 0.27
31, 0.20
32, 0.27
33, 0.38
34, 0.43
35, 0.48
36, 0.25
37, 0.45
38, 0.49
39, 0.36
40, 0.35
41, 0.19
42, 0.49
43, 0.55
44, 0.56
45, 0.36
46, 0.25
47, 0.48
48, 0.41
49, 0.47
50, 0.65
51, 0.35
52, 0.42
53, 0.33
54, 0.58
55, 0.22
56, 0.65
57, 0.23
58, 0.21
59, 0.30
60, 0.44
61, 0.49
62, 0.39
63, 0.24
64, 0.28
65, 0.31
66, 0.78
67, 0.28
68, 0.35
69, 0.27
70, 0.77
71, 0.73
72, 0.55
73, 0.27
74, 0.31
75, 0.57
76, 0.22
77, 0.67
78, 0.36
79, 0.38
80, 0.41
81, 0.30
82, 0.30
83, 0.23
84, 0.20
85, 0.25
86, 0.35
87, 0.15
88, 0.19
89, 0.59
90, 0.34
91, 0.33
92, 0.35
93, 0.51
94, 0.35
95, 0.29
96, 0.36
97, 0.19
98, 0.28
99, 0.34
100, 0.17
101, 0.54
102, 0.39
103, 0.46
104, 0.33
105, 0.34
106, 0.46
107, 0.45
108, 0.39
109, 0.29
110, 0.43
111, 0.34
112, 0.27
113, 0.32
114, 0.38
115, 0.20
116, 0.19
117, 0.24
118, 0.31
119, 0.32
120, 0.37
121, 0.50
122, 0.67
123, 0.47
124, 0.37
125, 0.25
126, 0.54
127, 0.19
128, 0.41
129, 0.27
130, 0.27
131, 0.49
132, 0.33
133, 0.45
134, 0.43
135, 0.40
136, 0.26
137, 0.18
138, 0.40
139, 0.17
140, 0.22
141, 0.26
142, 0.59
143, 0.30
144, 0.57
145, 0.25
146, 0.58
147, 0.23
148, 0.40
149, 0.78
150, 0.73
151, 0.38
152, 0.68
153, 0.35
154, 0.79
155, 0.21
156, 0.40
157, 0.20
158, 0.29
159, 0.24
160, 0.43
161, 0.24
162, 0.28
163, 0.21
164, 0.19
165, 0.45
166, 0.27
167, 0.49
168, 0.22
169, 0.32
170, 0.19
171, 0.48
172, 0.29
173, 0.66
174, 0.25
175, 0.21
176, 0.34
177, 0.41
178, 0.54
179, 0.21
180, 0.63
181, 0.72
182, 0.19
183, 0.31
184, 0.61
185, 0.58
186, 0.59
187, 0.74
188, 0.33
189, 0.32
190, 0.83
191, 0.17
192, 0.57
193, 0.22
194, 0.34
195, 0.60
196, 0.18
197, 0.25
198, 0.38
199, 0.22
200, 0.25
201, 0.38
202, 0.69
203, 0.26
204, 0.50
205, 0.34
206, 0.21
207, 0.31
208, 0.33
209, 0.69
210, 0.43
211, 0.36
212, 0.61
213, 0.55
214, 0.60
215, 0.17
216, 0.45
217, 0.27
218, 0.32
219, 0.36
220, 0.39
221, 0.29
222, 0.17
223, 0.67
224, 0.45
225, 0.34
226, 0.49
227, 0.49
228, 0.46
229, 0.18
230, 0.41
231, 0.71
232, 0.55
233, 0.24
234, 0.38
235, 0.28
236, 0.37
237, 0.53
238, 0.67
239, 0.46
240, 0.38
241, 0.34
242, 0.33
243, 0.25
244, 0.31
245, 0.18
246, 0.26
247, 0.74
248, 0.56
249, 0.29
250, 0.83
251, 0.36
252, 0.17
253, 0.21
254, 0.42
255, 0.20
256, 0.52
257, 0.22
258, 0.78
259, 0.27
260, 0.68
261, 0.42
262, 0.28
263, 0.25
264, 0.26
265, 0.39
266, 0.20
267, 0.42
268, 0.46
269, 0.37
270, 0.19
271, 0.18
272, 0.35
273, 0.35
274, 0.55
275, 0.43
276, 0.72
277, 0.81
278, 0.36
279, 0.24
280, 0.83
281, 0.22
282, 0.20
283, 0.42
284, 0.19
285, 0.51
286, 0.54
287, 0.28
288, 0.22
289, 0.43
290, 0.26
291, 0.23
292, 0.35
293, 0.45
294, 0.25
295, 0.20
296, 0.36
297, 0.17
298, 0.44
299, 0.65
300, 0.29
301, 0.19
302, 0.40
303, 0.58
304, 0.39
305, 0.62
306, 0.45
307, 0.48
308, 0.20
309, 0.70
310, 0.41
311, 0.29
312, 0.36
313, 0.21
314, 0.58
315, 0.53
316, 0.17
317, 0.57
318, 0.33
319, 0.37
320, 0.28
321, 0.42
322, 0.50
323, 0.51
324, 0.28
325, 0.46
326, 0.44
327, 0.45
328, 0.46
329, 0.35
330, 0.23
331, 0.56
332, 0.27
333, 0.30
334, 0.66
335, 0.21
336, 0.52
337, 0.78
338, 0.33
339, 0.29
340, 0.41
341, 0.31
342, 0.22
343, 0.20
344, 0.52
345, 0.48
346, 0.55
347, 0.18
348, 0.18
349, 0.53
350, 0.17
351, 0.43
352, 0.39
353, 0.39
354, 0.44
355, 0.44
356, 0.26
357, 0.51
358, 0.30
359, 0.31
360, 0.31
361, 0.21
362, 0.36
363, 0.51
364, 0.34
365, 0.59
366, 0.32
367, 0.48
368, 0.28
369, 0.62
370, 0.21
371, 0.21
372, 0.41
373, 0.36
374, 0.52
375, 0.24
376, 0.62
377, 0.20
378, 0.51
379, 0.34
380, 0.63
381, 0.20
382, 0.31
383, 0.61
384, 0.53
385, 0.50
386, 0.31
387, 0.38
388, 0.23
389, 0.35
390, 0.19
391, 0.23
392, 0.70
393, 0.29
394, 0.45
395, 0.49
396, 0.75
397, 0.19
398, 0.36
399, 0.75
400, 0.59
401, 0.43
402, 0.17
403, 0.24
404, 0.60
405, 0.28
406, 0.48
407, 0.28
408, 0.24
409, 0.44
410, 0.24
411, 0.44
412, 0.33
413, 0.24
414, 0.21
415, 0.27
416, 0.44
417, 0.23
418, 0.33
419, 0.59
420, 0.48
421, 0.20
422, 0.43
423, 0.28
424, 0.36
425, 0.40
426, 0.33
427, 0.46
428, 0.26
429, 0.18
430, 0.40
431, 0.59
432, 0.26
433, 0.32
434, 0.56
435, 0.32
436, 0.56
437, 0.60
438, 0.49
439, 0.28
440, 0.30
441, 0.29
442, 0.65
443, 0.27
444, 0.19
445, 0.30
446, 0.62
447, 0.20
448, 0.82
449, 0.27
450, 0.41
451, 0.69
452, 0.67
453, 0.44
454, 0.28
455, 0.30
456, 0.72
457, 0.36
458, 0.38
459, 0.30
460, 0.65
461, 0.19
462, 0.29
463, 0.34
464, 0.19
465, 0.21
466, 0.27
467, 0.46
468, 0.25
469, 0.37
470, 0.38
471, 0.28
472, 0.29
473, 0.52
474, 0.30
475, 0.42
476, 0.19
477, 0.25
478, 0.36
479, 0.32
480, 0.39
481, 0.32
482, 0.35
483, 0.61
484, 0.35
485, 0.82
486, 0.54
487, 0.50
488, 0.46
489, 0.42
490, 0.26
491, 0.22
492, 0.26
493, 0.36
494, 0.45
495, 0.29
496, 0.70
497, 0.65
498, 0.83
499, 0.53
500, 0.25
501, 0.31
502, 0.32
503, 0.31
504, 0.45
505, 0.26
506, 0.47
507, 0.23
508, 0.27
509, 0.28
510, 0.61
511, 0.42
512, 0.31
513, 0.17
514, 0.44
515, 0.41
516, 0.21
517, 0.48
518, 0.58
519, 0.73
520, 0.69
521, 0.35
522, 0.44
523, 0.61
524, 0.30
525, 0.58
526, 0.32
527, 0.42
528, 0.40
529, 0.22
530, 0.17
531, 0.37
532, 0.41
533, 0.29
534, 0.76
535, 0.47
536, 0.38
537, 0.25
538, 0.20
539, 0.34
540, 0.22
541, 0.16
542, 0.46
543, 0.36
544, 0.27
545, 0.56
546, 0.50
547, 0.21
548, 0.65
549, 0.17
550, 0.47
551, 0.34
552, 0.64
553, 0.29
554, 0.32
555, 0.22
556, 0.31
557, 0.27
558, 0.40
559, 0.20
560, 0.47
561, 0.50
562, 0.32
563, 0.28
564, 0.30
565, 0.36
566, 0.21
567, 0.49
568, 0.44
569, 0.54
570, 0.47
571, 0.19
572, 0.37
573, 0.34
574, 0.38
575, 0.39
576, 0.29
577, 0.68
578, 0.34
579, 0.22
580, 0.48
581, 0.31
582, 0.44
583, 0.45
584, 0.24
585, 0.28
586, 0.58
587, 0.55
588, 0.34
589, 0.81
590, 0.28
591, 0.19
592, 0.58
593, 0.44
594, 0.31
595, 0.44
596, 0.33
597, 0.25
598, 0.26
599, 0.18
600, 0.44
601, 0.40
602, 0.27
603, 0.56
604, 0.17
605, 0.21
606, 0.56
607, 0.16
608, 0.52
609, 0.35
610, 0.55
611, 0.53
612, 0.33
613, 0.38
614, 0.40
615, 0.23
616, 0.42
617, 0.35
618, 0.28
619, 0.43
620, 0.60
621, 0.62
622, 0.34
623, 0.38
624, 0.20
625, 0.31
626, 0.27
627, 0.21
628, 0.47
629, 0.68
630, 0.48
631, 0.44
632, 0.37
633, 0.31
634, 0.37
635, 0.40
636, 0.56
637, 0.22
638, 0.37
639, 0.45
640, 0.23
641, 0.69
642, 0.43
643, 0.44
644, 0.67
645, 0.29
646, 0.33
647, 0.41
648, 0.30
649, 0.24
650, 0.31
651, 0.31
652, 0.76
653, 0.21
654, 0.29
655, 0.34
656, 0.35
657, 0.58
658, 0.46
659, 0.29
660, 0.65
661, 0.32
662, 0.21
663, 0.19
664, 0.79
665, 0.25
666, 0.20
667, 0.29
668, 0.72
669, 0.21
670, 0.26
671, 0.36
672, 0.30
673, 0.20
674, 0.30
675, 0.63
676, 0.45
677, 0.46
678, 0.35
679, 0.26
680, 0.74
681, 0.30
682, 0.22
683, 0.65
684, 0.31
685, 0.25
686, 0.25
687, 0.28
688, 0.19
689, 0.42
690, 0.64
691, 0.25
692, 0.74
693, 0.50
694, 0.73
695, 0.32
696, 0.44
697, 0.38
698, 0.17
699, 0.28
700, 0.43
701, 0.22
702, 0.34
703, 0.41
704, 0.53
705, 0.41
706, 0.39
707, 0.19
708, 0.18
709, 0.21
710, 0.45
711, 0.83
712, 0.25
713, 0.30
714, 0.34
715, 0.35
716, 0.74
717, 0.29
718, 0.50
719, 0.21
720, 0.35
721, 0.76
722, 0.57
723, 0.46
724, 0.19
725, 0.77
726, 0.20
727, 0.57
728, 0.51
729, 0.38
730, 0.22
731, 0.43
732, 0.27
733, 0.17
734, 0.33
735, 0.30
736, 0.40
737, 0.21
738, 0.73
739, 0.44
740, 0.61
741, 0.77
742, 0.33
743, 0.21
744, 0.47
745, 0.45
746, 0.60
747, 0.66
748, 0.29
749, 0.28
750, 0.23
751, 0.49
752, 0.34
753, 0.18
754, 0.26
755, 0.52
756, 0.44
757, 0.23
758, 0.18
759, 0.38
760, 0.26
761, 0.40
762, 0.66
763, 0.25
764, 0.28
765, 0.27
766, 0.33
767, 0.16
768, 0.37
769, 0.58
770, 0.40
771, 0.17
772, 0.30
773, 0.24
774, 0.43
775, 0.23
776, 0.27
777, 0.25
778, 0.26
779, 0.22
780, 0.68
781, 0.28
782, 0.18
783, 0.33
784, 0.35
785, 0.26
786, 0.52
787, 0.52
788, 0.62
789, 0.21
790, 0.37
791, 0.33
792, 0.45
793, 0.62
794, 0.83
795, 0.26
796, 0.30
797, 0.75
798, 0.63
799, 0.36
800, 0.62
801, 0.41
802, 0.39
803, 0.27
804, 0.52
805, 0.69
806, 0.36
807, 0.23
808, 0.27
809, 0.50
810, 0.32
811, 0.77
812, 0.26
813, 0.25
814, 0.44
815, 0.19
816, 0.35
817, 0.66
818, 0.35
819, 0.27
820, 0.41
821, 0.38
822, 0.25
823, 0.44
824, 0.38
825, 0.51
826, 0.78
827, 0.25
828, 0.56
829, 0.68
830, 0.27
831, 0.20
832, 0.41
833, 0.54
834, 0.33
835, 0.70
836, 0.41
837, 0.27
838, 0.48
839, 0.17
840, 0.40
841, 0.54
842, 0.18
843, 0.48
844, 0.51
845, 0.48
846, 0.37
847, 0.51
848, 0.31
849, 0.76
850, 0.29
851, 0.63
852, 0.52
853, 0.46
854, 0.34
855, 0.30
856, 0.48
857, 0.71
858, 0.27
859, 0.31
860, 0.17
861, 0.16
862, 0.38
863, 0.43
864, 0.67
865, 0.44
866, 0.18
867, 0.39
868, 0.44
869, 0.29
870, 0.74
871, 0.46
872, 0.36
873, 0.49
874, 0.33
875, 0.52
876, 0.50
877, 0.40
878, 0.34
879, 0.21
880, 0.27
881, 0.18
882, 0.34
883, 0.54
884, 0.31
885, 0.20
886, 0.35
887, 0.47
888, 0.56
889, 0.60
890, 0.22
891, 0.39
892, 0.50
893, 0.40
894, 0.30
895, 0.28
896, 0.25
897, 0.28
898, 0.53
899, 0.22
900, 0.56
901, 0.62
902, 0.53
903, 0.22
904, 0.49
905, 0.82
906, 0.55
907, 0.81
908, 0.80
909, 0.51
910, 0.39
911, 0.35
912, 0.20
913, 0.46
914, 0.18
915, 0.38
916, 0.38
917, 0.56
918, 0.29
919, 0.36
920, 0.67
921, 0.41
922, 0.18
923, 0.49
924, 0.72
925, 0.18
926, 0.27
927, 0.47
928, 0.70
929, 0.37
930, 0.30
931, 0.13
932, 0.17
933, 0.50
934, 0.17
935, 0.30
936, 0.29
937, 0.47
938, 0.43
939, 0.75
940, 0.21
941, 0.25
942, 0.69
943, 0.32
944, 0.36
945, 0.21
946, 0.35
947, 0.18
948, 0.42
949, 0.39
950, 0.62
951, 0.72
952, 0.46
953, 0.84
954, 0.28
955, 0.53
956, 0.33
957, 0.17
958, 0.48
959, 0.27
960, 0.36
961, 0.60
962, 0.28
963, 0.37
964, 0.30
965, 0.32
966, 0.78
967, 0.44
968, 0.19
969, 0.45
970, 0.74
971, 0.42
972, 0.43
973, 0.41
974, 0.61
975, 0.52
976, 0.22
977, 0.25
978, 0.32
979, 0.47
980, 0.34
981, 0.30
982, 0.39
983, 0.26
984, 0.23
985, 0.26
986, 0.26
987, 0.41
988, 0.18
989, 0.42
990, 0.22
991, 0.57
992, 0.30
993, 0.31
994, 0.25
995, 0.40
996, 0.53
997, 0.38
998, 0.34
999, 0.18
1000, 0.18
1001, 0.63
1002, 0.40
